Location,Time,Category,Que/Ans,Urgent,High,Verified,Additional,Frequent
"Glasgow, G53",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Kitchen  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? building warrant approved  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details clear out existing kitchen open wall into garage space follow plans as passed by council  Additional Details: clear out existing kitchen open wall into garage space follow plans as passed by council",0,1,0,1,1
"Oldbury, B69",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details I would like to convert my integrated garage into a living space. I would like a partition wall put up so that u can use part as a utility area and the other part as an office. It will need the floor raising, plastering and the current garage door replaced with brick and window. I’m looking to hire asap  Additional Details: I would like to convert my integrated garage into a living space. I would like a partition wall put up so that u can use part as a utility area and the other part as an office. It will need the floor raising, plastering and the current garage door replaced with brick and window. I’m looking to hire asap",1,0,1,1,1
"Bacup, OL13",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details attached garage with pitched roof with electrics, lighting and boiler within  Additional Details: attached garage with pitched roof with electrics, lighting and boiler within",0,0,1,1,1
"Willenhall, WV13",1w ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? Okay  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm ready to hire  Additional details Garage conversion  Additional Details: Garage conversion,1,0,1,1,1
"Derby, DE22",1w ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Kitchen  Do you have plans drawn up? Don't need plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details Convert garage to kitchen and knock through to existing kitchen.  If possible build new double garage in front garden  Additional Details: Convert garage to kitchen and knock through to existing kitchen.  If possible build new double garage in front garden,1,0,1,1,1
"Bradford, BD10",3d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,0,1
"Bristol, BS16",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm ready to hire",0,0,1,0,0
"Oldbury, B69",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details I would like to convert my integral garage into a living space. I would like a partition wall with pocket door installed so that I can use part as a utility room and the other part as an office space.  Additional Details: I would like to convert my integral garage into a living space. I would like a partition wall with pocket door installed so that I can use part as a utility room and the other part as an office space.",1,0,1,1,1
"Yarm, TS15",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details Conversion of garage to living space  Additional Details: Conversion of garage to living space",0,0,1,1,0
Bedford,13h ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room / toilet  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Partial garage conversion, to include passage way through to rear of property down one side. Main area to include utility room and toilet.  Additional Details: Partial garage conversion, to include passage way through to rear of property down one side. Main area to include utility room and toilet.",0,1,0,1,1
"Leicester, LE2",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm ready to hire",0,0,1,0,1
"Waterlooville, PO7",1w ago,Garage Conversions,"Where is the existing garage located? Double shed with loo  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details its a shed with a loo  Additional Details: its a shed with a loo",0,0,1,1,0
", East Calder, EH53",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire  Additional details Hi,  I need a single garage conversion into a bedroom with en-suite.  Additional Details: Hi,  I need a single garage conversion into a bedroom with en-suite.",1,0,1,1,1
", Hardwicke, GL2",4d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm ready to hire  Additional details I want to convert my garage to a home office and and storage space. With side door and probably window installation.  Additional Details: I want to convert my garage to a home office and and storage space. With side door and probably window installation.",1,0,1,1,1
"West Malling, ME19",4d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm ready to hire  Additional details Tytty  Additional Details: Tytty",0,0,1,1,1
"Stratford-upon-Avon, Warwickshire",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Double garage to be converted to bedroom and en suite bathroom plus small are for washing machine and tumble dryer.  Need internal walls, ceilings boarded and floor screeds.  First fit electric and plumbing.  Garage door to be replaced with central window using brieze blocks, insulation and plasterboard with front view cladded around the window.  Additional Details: Double garage to be converted to bedroom and en suite bathroom plus small are for washing machine and tumble dryer.  Need internal walls, ceilings boarded and floor screeds.  First fit electric and plumbing.  Garage door to be replaced with central window using brieze blocks, insulation and plasterboard with front view cladded around the window.",0,1,1,1,1
"London, IG7",4d ago,Garage Conversions,Where is the existing garage located? Shade to be done up  How big is the garage to be converted? It’s a shade  What are you planning to use the converted garage for? Storage  Do you have plans drawn up? Shade yes plans are in place  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire,0,0,1,1,1
"Hatfield, AL10",6d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm ready to hire  Additional details Quote on how much it will cost to convert brick building into studio including extension and all fittings as in kitchenette, bathroom etc  Additional Details: Quote on how much it will cost to convert brick building into studio including extension and all fittings as in kitchenette, bathroom etc",0,0,1,1,0
"Glasgow, G33",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm ready to hire  Additional details Convert garage into living space  Additional Details: Convert garage into living space",1,0,1,1,1
"Cambridge, CB1",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Storage  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm ready to hire  Additional details convert my garage to storage area, change flooring so that flooring can be cleaned. have some storage unit  Additional Details: convert my garage to storage area, change flooring so that flooring can be cleaned. have some storage unit",0,0,1,1,1
"Basingstoke, RG22",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm ready to hire  Additional details Aaaaaaaa  Additional Details: Aaaaaaaa",0,0,1,1,0
"Weston-Super-Mare, BS22",1w ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm ready to hire",0,0,1,0,0
", Whitecraig, EH21",14h ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,1,0
"Norwich, NR9",19h ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Attached garage.  Looking to have a ceiling put on it. I believe I need one of the timbers replaced or partially replaced on the side as small part seems to have rotted. Will need a hatch space so we can access the loft part of that house if required at some point in the future. Will require insulation. Also want the walls to be insulated as very cold in winter and boiling in summer  and then plasterboarded etc. I believe that&#039;s all it needs because the floor is already the correct height currently. Family member is a qualified electrician who can do any electrical work before the works begin etc to add in the extra sockets and change lights etc.  Additional Details: Attached garage.  Looking to have a ceiling put on it. I believe I need one of the timbers replaced or partially replaced on the side as small part seems to have rotted. Will need a hatch space so we can access the loft part of that house if required at some point in the future. Will require insulation. Also want the walls to be insulated as very cold in winter and boiling in summer  and then plasterboarded etc. I believe that&#039;s all it needs because the floor is already the correct height currently. Family member is a qualified electrician who can do any electrical work before the works begin etc to add in the extra sockets and change lights etc.",0,1,1,1,1
"Plymouth, PL3",20h ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Detached single garage to convert to office space  Additional Details: Detached single garage to convert to office space",0,1,1,1,0
"Bristol, BS39",20h ago,Garage Conversions,"Where is the existing garage located? Shed on house  How big is the garage to be converted? I don’t know  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm likely to hire someone",0,0,1,1,1
"Colchester, CO4",2d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details To extend toilet/cloakroom area to include a shower and reduce kitchen area .  Additional Details: To extend toilet/cloakroom area to include a shower and reduce kitchen area .",1,1,1,1,0
"Bishop'S Stortford, CM22",3d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I will possibly hire someone  Additional details Living space  Additional Details: Living space",1,0,1,1,1
"Birmingham, B16",3d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits three cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Outbuildings attached to main residence  Needs to be concerto 1 bed flat Side access  Additional Details: Outbuildings attached to main residence  Needs to be concerto 1 bed flat Side access",0,1,1,1,1
"Chelmsford, CM1",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Would like to go garage conversion, possibly with shower and toilet like a granny annex.  Additional Details: Would like to go garage conversion, possibly with shower and toilet like a granny annex.",1,1,1,1,0
"Beverley, HU17",6d ago,Garage Conversions,Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone,1,1,1,1,0
"Taunton, TA2",6d ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Sound proofing  Insulation for large format printer  Additional Details: Sound proofing  Insulation for large format printer",0,1,0,1,0
"Northwich, CW8",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Kitchen  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Garage conversion  Additional Details: Garage conversion",1,1,1,1,0
"Daventry, Northamptonshire",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details Im.looking for a buimdrr to work pn a garage conversion to an wetroom en-suite bedroom in Daventry. Project generally suits a multi-skilled builder, plumber, carpenter and electeician or small team that work well together.  Additional Details: Im.looking for a buimdrr to work pn a garage conversion to an wetroom en-suite bedroom in Daventry. Project generally suits a multi-skilled builder, plumber, carpenter and electeician or small team that work well together.",1,0,1,1,0
"Tonbridge, TN11",22h ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Utility room  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,0,1
"Gillingham, ME8",4d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details I would like to convert my garage of one car size into a living room. This garage is attached to the main house  Additional Details: I would like to convert my garage of one car size into a living room. This garage is attached to the main house",0,1,1,1,1
"Ormskirk, L39",6d ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bedroom  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Also want room behind garage conversion to a shower room and utility room drains need putting in .  Additional Details: Also want room behind garage conversion to a shower room and utility room drains need putting in .,1,1,1,1,0
"Chippenham, SN14",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? Yes, I have plans  What is the planning permission status for this job? Planning permission granted  How likely are you to make a hiring decision? I'm likely to hire someone  Additional details I will like a quote and possible conversation of my garage to a home office the garage will probably need a door to be created inside the property into the garage  Additional Details: I will like a quote and possible conversation of my garage to a home office the garage will probably need a door to be created inside the property into the garage",0,0,1,1,1
"Cardiff, CF3",1w ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Home office  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Aiming to start May/June  Additional Details: Aiming to start May/June,0,1,1,1,0
"Wakefield, WF2",42m ago,Garage Conversions,Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Bar  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone,0,1,1,0,0
"Eaglescliffe, Stockton-on-Tees",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,1,0,0
"Wigston, LE18",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Extension over garage for a room  Covert garage into living space  Rear section 3mtres by aprox 6 meters  Additional Details: Extension over garage for a room  Covert garage into living space  Rear section 3mtres by aprox 6 meters",0,1,1,1,0
"Blackburn, BB1",1w ago,Garage Conversions,"Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Storage  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details I have prefab garage want to change to brick garage,some ground work for new foundation and support wall  Additional Details: I have prefab garage want to change to brick garage,some ground work for new foundation and support wall",1,1,0,1,1
"Chigwell, IG7",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? I would like to discuss this with the pro  How likely are you to make a hiring decision? I'm definitely going to hire someone",0,1,0,0,1
"Bedford, MK42",1w ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Garage conversion  Additional Details: Garage conversion",0,1,0,1,1
", Leicester, LE2",1w ago,Garage Conversions,Where is the existing garage located? Residential – away from main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Self contained accommodation  Do you have plans drawn up? I would like the pro to help me with plans  What is the planning permission status for this job? No planning application made  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details I would like to convert my separate double garage to a self contained room .  Additional Details: I would like to convert my separate double garage to a self contained room .,0,1,0,1,1
", Edinburgh, EH17",6d ago,Garage Conversions,"Where is the existing garage located? Residential – attached to main property  How big is the garage to be converted? Garage that fits one car  What are you planning to use the converted garage for? Spare bedroom  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Convert single internal garage into spare bedroom  Additional Details: Convert single internal garage into spare bedroom",0,1,1,1,0
", Wynyard, TS22",1w ago,Garage Conversions,"Where is the existing garage located? Residential – next to main property  How big is the garage to be converted? Garage that fits two cars  What are you planning to use the converted garage for? Living space  Do you have plans drawn up? No, I don't have plans yet  What is the planning permission status for this job? Planning permission not required  How likely are you to make a hiring decision? I'm definitely going to hire someone  Additional details Detached double garage.  Would like to transform it into a games room/ teenager den. With patio doors leading into garden. Would like garage upper storage boarded out.  Additional Details: Detached double garage.  Would like to transform it into a games room/ teenager den. With patio doors leading into garden. Would like garage upper storage boarded out.",1,1,1,1,0
